Round,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,27.483570765056164,24.308678494144075,28.23844269050346,32.61514928204013,23.829233126383322,23.8293152152541,32.896064077536955,28.837173645764544,22.65262807032524,27.712800217929825,22.682911535937688,22.671351232148716,26.20981135783017,15.43359877671101,16.375410837434835,22.188562353795138,19.93584439832788,26.571236662976368,20.459879622393945,17.938481493323543,32.32824384460777,23.871118497567323,25.33764102343962,17.876259068932715,22.278086377374088,25.55461294854933,19.245032112888484,26.87849009172836,21.996806550405974,23.541531251033618,21.991466938853016,34.26139092254469,24.93251387631033,19.7114453552205,29.112724560515947,18.895781750144888,26.044317975023777,15.201649380601122,18.359069755507846,25.984306179345616,28.692332899977053,25.85684140594985,24.421758588058797,23.494481522053555,17.607390048162863,21.400778958026457,22.696806145201062,30.28561113109458,26.71809144784231,16.18479922318633
1,25.674362788458424,25.19676055255301,28.29431048990062,30.965693794549463,24.623915874795813,23.703728392211847,31.881341469593853,29.099699505481574,23.917671107226386,25.639278575136316,22.962666790510646,22.891597189611097,26.67516508550318,15.669051791891967,16.984328269389394,21.437948938826455,21.25195228352472,24.977892999822505,20.908624486332947,20.05237655336787,29.472382882317184,25.111574481681416,24.22165296339222,19.35916022680125,22.137423785215823,25.310531770049803,21.153396607598452,26.135969147396793,22.548320220850908,23.15468262443259,22.776053041499253,31.9291716609861,25.817423214543048,22.009216198977,26.660446808557634,21.06646662955113,23.795417372611084,16.951660501767293,18.901613664949757,27.642016955019244,26.447111013787914,25.14185102957879,24.31820845439011,22.874504721067872,18.81745009613215,21.395036661832115,23.483403370040925,28.82753553619984,25.76616635514512,19.038145790263
2,24.78513538419582,25.643654574209638,28.241039660813275,29.937623955888405,25.01302821314456,23.655061123992617,31.185930978565782,29.076938456235013,24.34807297420387,24.59893604353841,23.310627643402253,23.078807297820916,26.752547134849713,15.997870911266324,17.37662129338185,21.02004276539988,22.024166886647834,24.003491846099088,21.310252058898506,21.33690833610717,27.74978104111905,25.545435341974738,23.7250815611045,20.314254763676942,22.18677933851825,25.017072944113927,22.399039742548037,25.73397361704639,22.8052902248595,23.031558626118212,23.197145903571652,30.40123454937534,26.22454721734438,23.145356877025943,25.37979545998424,22.106832994809437,22.598828920873117,18.050874256020574,19.43789919013058,28.4729361649018,25.337637310085185,24.680970539254346,24.147652419147395,22.547835859616185,19.64678024496161,21.623341608121493,23.890374052284688,27.890472709092894,25.134597445572727,20.69281451314659
3,24.380910174066393,25.861012811283366,28.128439561872213,29.263801636821274,25.204891855359655,23.636141384522034,30.65868284798309,28.92269191662778,24.410788741537505,24.079312968572616,23.64589004694735,23.241390481184393,26.635840757180688,16.342558506795203,17.659705179619664,20.787771013830078,22.47544428624734,23.41942125276761,21.650239066949663,22.135185389582574,26.672628740599528,25.593434331759,23.526272434034833,20.97467368521055,22.306500467362547,24.752898827531027,23.232773211172628,25.506626548269573,22.919432252691664,23.023973485642554,23.418628936640104,29.3570627163676,26.382393187105485,23.698696754028134,24.691370328967604,22.577452793714247,21.96883509700859,18.79274670589089,19.9199049920073,28.83910811264845,24.789567201820375,24.37223613311807,23.969707122418168,22.385180977725767,20.25648236718842,21.93002141529036,24.107007328865315,27.24821968021147,24.70747396262508,21.692619813326722
4,24.229886708626054,25.95942832545485,27.98693147741724,28.79555452177265,25.302896773033694,23.62497081950058,30.22468511514426,28.712682612002418,24.327919798296282,23.82241079578749,23.937390493746747,23.382992507058983,26.42943754455171,16.67184517500132,17.886070074792908,20.663220439411475,22.738528544346707,23.08027635872533,21.93200513050602,22.64174751813058,25.97054902061734,25.469938395648544,23.465717827647318,21.460101876582584,22.445821914614605,24.541314997602285,23.801236545446862,25.369207174203623,22.96610511016393,23.060237762898385,23.530402633513532,28.613395334052072,26.412163985743483,23.959139756869597,24.3030464401935,22.76561527353271,21.647901260207085,19.330652540545156,20.335551598881594,28.945281493691656,24.516849589872315,24.156298172472397,23.81051430781598,22.317159419495148,20.73176207451833,22.244881190752217,24.227535633586715,26.779020770914354,24.412451762114078,22.326992752824918
5,24.208217666254512,25.99667351734655,27.83457146396637,28.44959170334137,25.35722704384088,23.612600652933033,29.8466844893588,28.4837484951703,24.201542547669085,23.69867216573077,24.17743743191037,23.505732480489577,26.188993026337126,16.975401399949217,18.08143575789628,20.60393722767821,22.892052305538268,22.89402397840059,22.164256832486505,22.969129907488355,25.491872504685396,25.28198715276949,23.46554340476438,21.834018875219677,22.584543545234062,24.38286488430399,24.193229202636054,25.278239084728686,22.982300947332405,23.10724179013347,23.581888165761708,28.063087496974923,26.377971217782466,24.071841821410423,24.067879208945413,22.818079917699606,21.49795942191505,19.745921012794952,20.687532538288387,28.907849750711904,24.377422131621636,23.99851558362507,23.679256572447528,22.30565411241315,21.119076632169666,22.53884376649239,24.298639470398356,26.416387225453068,24.203760503212322,22.751781752670382
6,24.249720158443,26.002853779287523,27.681711750560765,28.178831132382623,25.391474716609878,23.596427090793597,29.505950490811674,28.25342681813866,24.075824952184504,23.64316966184051,24.368541036216783,23.61138611091192,25.94360762088761,17.251909989435983,18.258494146875638,20.585920008912243,22.982367308070405,22.802556626053537,22.356086860100998,23.183863597762755,25.150294011046277,25.081167353258337,23.48865830707193,22.131775025164565,22.715518128866005,24.269996491973338,24.464481673159213,25.211313284136686,22.985843885711,23.150954981736867,23.600291410989506,27.64180842717681,26.313544029447513,24.109544033628698,23.912149624097815,22.809289767132263,21.443969682748104,20.08262725462164,20.983703978268792,28.79328523886927,24.301027054068832,23.878535199141556,23.576934277379628,22.329032234887013,21.444869708990442,22.802044753736702,24.34338347679195,26.123244481181736,24.052131479746084,23.052197543500945
7,24.31917153418081,25.993569323091112,27.533994426879342,27.956329324790293,25.416215523222323,23.57663266657226,29.192819572643423,28.02972808547254,23.967661129598504,23.623380058341063,24.517022044707517,23.70172399738349,25.707928175706122,17.5035560287959,18.423599359950256,20.59498226075751,23.036648445658695,22.769224240561577,22.515367673052786,23.326195307215475,24.895849377162342,24.89074455470853,23.51811152760681,22.374353323365668,22.836860036291743,24.19335129560534,24.65118957590358,25.156844267413902,22.9850652705154,23.186483148390213,23.6006043659275,27.309742327744484,26.236451705009834,24.108805109992353,23.79896644316848,22.776482238704936,21.444466889780315,20.36542964859334,21.232923290421994,28.63967171224761,24.2531562989588,23.784255222400837,23.50094683677976,22.374499674461518,21.725036905320795,23.03317755716855,24.37319876195877,25.87830724809625,23.93868842253245,23.275759385161148
8,24.39804473916714,25.976822737450853,27.394233151144682,27.76640379878849,25.4358500026616,23.554391608453088,28.902046700850704,27.816004044111573,23.881590861784144,23.622962608100753,24.630038496329803,23.778539108223526,25.48876644059173,17.73356686158449,18.58001680615687,20.62231977437634,23.070718447635752,22.770920195260118,22.64845319826172,23.421048611688498,24.69900451561226,24.719803529127542,23.54672088046438,22.57513643801157,22.948608104590182,24.14422650966721,24.777603248781162,25.10884158977898,22.983658092600017,23.213071065848023,23.591099720810956,27.041419672060822,26.155684325313878,24.088119175260175,23.709885750963522,22.737790845647304,21.47608915324752,20.608746008970293,21.443403076690768,28.46883611538328,24.217068501717186,23.708341275376284,23.447416702105308,22.43412272360871,21.969737332944355,23.234420767084902,24.393834672127177,25.668871303280298,23.851170945961808,23.449638487936095
9,24.476841207548723,25.95665178937712,27.26357818038843,27.5997127881905,25.451990572730374,23.53102988053951,28.630536036665923,27.61336406941239,23.816933798363294,23.633625624790596,24.714306801439527,23.843586230972033,25.28872640277587,17.945179347727585,18.729498434112756,20.662199193126867,23.093702811190965,22.79308660218227,22.760335999564866,23.48421867300062,24.5418599043112,24.570568321355235,23.571908156240674,22.743268451640496,23.051376446902484,24.115351094046552,24.860412834030615,25.064224435781732,22.98309627195029,23.231648026062388,23.576355042084444,26.819985835374087,26.075695515034237,24.05695866303022,23.635653065836078,22.70158999726186,21.525383971762842,20.821496035470005,21.622188218061396,28.29322803623458,24.18483117010293,23.64622147481453,23.412312785513024,22.50273629708774,22.185870936044967,23.409100742624773,24.408287512891032,25.486978616550086,23.78156462562936,23.589854784360558
10,24.55094422737875,25.935041265524983,27.142229207487276,27.450517656922326,25.46509462089969,23.507680840007172,28.37624304485254,27.421868111115252,23.77110675497012,23.651067791433427,24.775640319330428,23.898517121598093,25.10819481350248,18.141259119323877,18.873046143191374,20.71072373310303,23.110791668733448,22.826569802981183,22.85491515907151,23.525938492734973,24.41324330252788,24.44214724858541,23.59316071380497,22.885361914123266,23.145859778387745,24.100963430870443,24.911365734468394,25.021432343676288,22.9838281752103,23.243667433801132,23.558917863024803,26.633913255289123,25.99855821587738,24.02027952676504,23.57155838191357,22.67132212764626,21.584423732913613,21.009568550330535,21.775105852331613,28.11984922422356,24.152863043334754,23.59493505664009,23.391946589374292,22.576825188010552,22.37838283199779,23.56067130877411,24.418225554565133,25.327360701870926,23.724596584550014,23.706199442312833
